ngram,count,z_score
information the,1,-0.30412378896591885
the conditions,1,-0.30412378896591885
conditions of,1,-0.30412378896591885
the standard,1,-0.30412378896591885
standard license,1,-0.30412378896591885
license agreement,1,-0.30412378896591885
agreement are,1,-0.30412378896591885
are as,1,-0.30412378896591885
as a,5,0.8587700276758993
a the,1,-0.30412378896591885
the bnc,10,2.3123872984781717
consortium grants,1,-0.30412378896591885
grants according,1,-0.30412378896591885
according to,1,-0.30412378896591885
to the,5,0.8587700276758993
the terms,1,-0.30412378896591885
terms and,1,-0.30412378896591885
and conditions,1,-0.30412378896591885
conditions b,1,-0.30412378896591885
b distribution,1,-0.30412378896591885
distribution of,1,-0.30412378896591885
bnc processed,3,0.2773231193549902
processed material,3,0.2773231193549902
material is,1,-0.30412378896591885
is restricted,1,-0.30412378896591885
restricted to,1,-0.30412378896591885
the c,1,-0.30412378896591885
c members,1,-0.30412378896591885
members of,1,-0.30412378896591885
the said,1,-0.30412378896591885
said research,1,-0.30412378896591885
research group,1,-0.30412378896591885
group must,1,-0.30412378896591885
must not,1,-0.30412378896591885
not except,1,-0.30412378896591885
except as,1,-0.30412378896591885
as herein,1,-0.30412378896591885
herein d,1,-0.30412378896591885
d the,5,0.8587700276758993
material may,2,-0.013400334805464332
may be,2,-0.013400334805464332
be installed,1,-0.30412378896591885
installed at,1,-0.30412378896591885
at the,2,-0.013400334805464332
the place,2,-0.013400334805464332
place or,1,-0.30412378896591885
or places,1,-0.30412378896591885
places e,1,-0.30412378896591885
e copies,1,-0.30412378896591885
copies of,1,-0.30412378896591885
be made,1,-0.30412378896591885
made for,1,-0.30412378896591885
for backup,1,-0.30412378896591885
backup f,1,-0.30412378896591885
f there,1,-0.30412378896591885
there is,3,0.2773231193549902
is no,1,-0.30412378896591885
no restriction,1,-0.30412378896591885
restriction on,1,-0.30412378896591885
on the,2,-0.013400334805464332
the use,1,-0.30412378896591885
use of,1,-0.30412378896591885
the licensees,1,-0.30412378896591885
licensees results,1,-0.30412378896591885
results g,1,-0.30412378896591885
g the,1,-0.30412378896591885
consortium does,1,-0.30412378896591885
does not,1,-0.30412378896591885
not grant,1,-0.30412378896591885
grant to,1,-0.30412378896591885
the licensee,1,-0.30412378896591885
licensee any,1,-0.30412378896591885
any rights,1,-0.30412378896591885
rights 15,1,-0.30412378896591885
15 march,1,-0.30412378896591885
march 2008,1,-0.30412378896591885
2008 the,1,-0.30412378896591885
corpus has,1,-0.30412378896591885
has no,1,-0.30412378896591885
no single,1,-0.30412378896591885
single source,1,-0.30412378896591885
source document,1,-0.30412378896591885
document for,1,-0.30412378896591885
for details,1,-0.30412378896591885
details of,4,0.5680465735154447
the the,1,-0.30412378896591885
corpus bnc,1,-0.30412378896591885
consortium was,1,-0.30412378896591885
was formed,1,-0.30412378896591885
formed in,1,-0.30412378896591885
in 1990,1,-0.30412378896591885
1990 and,1,-0.30412378896591885
and a,1,-0.30412378896591885
a second,1,-0.30412378896591885
edition the,1,-0.30412378896591885
the world,1,-0.30412378896591885
world edition,2,-0.013400334805464332
edition was,1,-0.30412378896591885
was produced,2,-0.013400334805464332
produced during,1,-0.30412378896591885
during between,1,-0.30412378896591885
between 1998,1,-0.30412378896591885
1998 this,1,-0.30412378896591885
this edition,1,-0.30412378896591885
edition is,1,-0.30412378896591885
is derived,1,-0.30412378896591885
derived from,1,-0.30412378896591885
from the,3,0.2773231193549902
bnc world,1,-0.30412378896591885
edition but,1,-0.30412378896591885
but has,1,-0.30412378896591885
has been,4,0.5680465735154447
been the,3,0.2773231193549902
bnc is,1,-0.30412378896591885
is the,1,-0.30412378896591885
the result,1,-0.30412378896591885
result of,1,-0.30412378896591885
of of,1,-0.30412378896591885
of a,33,8.999026744168626
a unique,9,2.0216638443177173
unique collaboration,1,-0.30412378896591885
collaboration between,1,-0.30412378896591885
between three,1,-0.30412378896591885
three major,1,-0.30412378896591885
major the,1,-0.30412378896591885
the development,1,-0.30412378896591885
development of,1,-0.30412378896591885
bnc was,2,-0.013400334805464332
was funded,1,-0.30412378896591885
funded by,1,-0.30412378896591885
by the,3,0.2773231193549902
the commercial,1,-0.30412378896591885
commercial partners,1,-0.30412378896591885
partners in,1,-0.30412378896591885
in the,7,1.4402169359968082
is a,2,-0.013400334805464332
a large,1,-0.30412378896591885
large corpus,1,-0.30412378896591885
corpus its,1,-0.30412378896591885
its hundred,1,-0.30412378896591885
hundred million,1,-0.30412378896591885
words are,1,-0.30412378896591885
are made,1,-0.30412378896591885
made up,1,-0.30412378896591885
up of,1,-0.30412378896591885
a sample,1,-0.30412378896591885
sample corpus,1,-0.30412378896591885
corpus it,3,0.2773231193549902
it is,2,-0.013400334805464332
is composed,1,-0.30412378896591885
composed of,1,-0.30412378896591885
of text,2,-0.013400334805464332
text samples,1,-0.30412378896591885
samples a,1,-0.30412378896591885
a synchronic,1,-0.30412378896591885
synchronic corpus,1,-0.30412378896591885
it includes,1,-0.30412378896591885
includes imaginative,1,-0.30412378896591885
imaginative a,1,-0.30412378896591885
a general,1,-0.30412378896591885
general corpus,1,-0.30412378896591885
is not,3,0.2773231193549902
not specifically,1,-0.30412378896591885
specifically a,1,-0.30412378896591885
a monolingual,1,-0.30412378896591885
monolingual british,1,-0.30412378896591885
british english,2,-0.013400334805464332
english corpus,1,-0.30412378896591885
corpus text,1,-0.30412378896591885
text a,2,-0.013400334805464332
a teiconformant,1,-0.30412378896591885
teiconformant corpus,1,-0.30412378896591885
corpus texts,1,-0.30412378896591885
texts in,1,-0.30412378896591885
the corpus,6,1.1494934818363538
corpus are,1,-0.30412378896591885
are 1986,1,-0.30412378896591885
1986 the,1,-0.30412378896591885
is now,1,-0.30412378896591885
now lexicography,1,-0.30412378896591885
lexicography the,1,-0.30412378896591885
corpus provides,3,0.2773231193549902
provides a,8,1.7309403901572629
a body,1,-0.30412378896591885
body of,1,-0.30412378896591885
